HON,length,start,end,hits,distance
store2,0.284,0.078,0.362,28,33.493
trashcan_squarePrefab (6),0.022,0.373,0.395,3,19.506
store2,0.233,0.407,0.64,22,30.844
trashcan_squarePrefab (6),0.011,0.651,0.662,2,20.041
Terrain,0.666,0.864,1.53,61,18.203
NPC-4605,0.0,1.542,1.542,1,25.267
Terrain,0.788,1.553,2.341,72,21.102
SingleZebraPrefab,0.0,2.662,2.662,1,84.711
Park_Streight (3),0.0,2.673,2.673,1,98.488
Terrain,0.034,2.684,2.718,4,64.152
SingleZebraPrefab,0.0,2.729,2.729,1,88.773
Bush_qilgP2_6x6x4_PF (15),0.0,2.74,2.74,1,112.036
streetLight2 (36),0.023,2.751,2.774,3,34.061
streetLight2 (10),0.0,2.785,2.785,1,95.174
streetLight2 (36),0.033,2.795,2.828,4,34.057
Terrain,0.034,2.839,2.873,4,68.397
SingleZebraPrefab,0.0,2.884,2.884,1,90.017
Terrain,0.0,2.895,2.895,1,66.128
Park_Streight (3),0.0,2.906,2.906,1,98.45
Terrain,0.0,2.917,2.917,1,61.544
Lod_1,0.334,2.928,3.262,31,22.029
streetLight2 (38),0.0,3.273,3.273,1,60.863
Lod_1,0.656,3.284,3.94,60,21.623
Terrain,0.0,3.95,3.95,1,59.596
Sitting_NPC (4165),0.0,3.961,3.961,1,24.33
streetLight2 (38),0.0,3.972,3.972,1,59.969
NPC (212),0.0,3.983,3.983,1,95.076
Park_Streight (3),0.0,3.995,3.995,1,96.62
NPC (212),0.0,4.006,4.006,1,95.067
streetLight2 (38),0.021,4.018,4.039,3,59.949
Sitting_NPC (4165),0.0,4.05,4.05,1,24.273
baum ld0 mobile (4),0.0,4.061,4.061,1,100.689
Lod_1,1.633,4.083,5.716,148,21.312
baum ld0(enhanced),0.011,5.728,5.739,2,51.149
B013,0.0,5.75,5.75,1,53.384
PlantPot_A (1),0.0,5.761,5.761,1,30.546
streetLight2 (33),0.011,5.772,5.783,2,15.132
face_81,0.0,5.794,5.794,1,11.299
New_NPC (81),0.011,5.805,5.816,2,11.206
PlantPot_A (1),0.011,5.827,5.838,2,30.695
New_NPC (81),0.0,5.85,5.85,1,11.145
PlantPot_A (1),0.0,5.861,5.861,1,30.105
