HON,length,start,end,hits,distance
Validation_Plane (3),0.021,0.0,0.021,3,12.533
baum ld0(enhanced),0.184,0.103,0.287,23,52.303
streetLight2 (32),0.001,0.308,0.309,2,34.634
Col House1,0.002,0.33,0.332,2,119.621
PlantPot_A,0.202,0.352,0.554,17,53.1
B013,0.01,0.697,0.707,2,52.647
B030,0.0,0.718,0.718,1,51.656
New_NPC (73),0.022,0.73,0.752,3,30.98
PlantPot_A (1),0.033,0.763,0.796,4,33.028
Terrain,0.0,0.807,0.807,1,31.443
PlantPot_A (1),0.0,0.819,0.819,1,33.185
Terrain,0.022,0.83,0.852,3,43.917
New_NPC (73),0.033,0.863,0.896,4,30.7
New_NPC (95.1),0.0,0.907,0.907,1,30.772
B027,0.0,0.919,0.919,1,64.655
Lod_1,0.388,0.93,1.318,36,20.913
Terrain,0.556,1.329,1.885,39,5.302
Lod_1,0.011,2.051,2.062,2,21.926
Terrain,0.0,2.073,2.073,1,20.366
Lod_1,0.088,2.085,2.173,9,21.961
baum ld1(enhanced),0.0,2.185,2.185,1,71.747
Lod_1,0.522,2.196,2.718,48,22.159
Terrain,0.089,2.818,2.907,9,18.113
Lod_1,0.011,2.918,2.929,2,21.692
Terrain,0.089,2.94,3.029,9,18.37
Lod_1,0.033,3.04,3.073,4,21.733
Terrain,0.123,3.084,3.207,12,20.066
Lod_1,0.577,3.218,3.795,16,20.876
Bush_qilgY2_2x2x4_PF_baked_single,0.0,3.806,3.806,1,47.502
Sitting_NPC (4165),0.0,3.906,3.906,1,23.891
RedBush_Var1_Prefab_baked_single (4),0.0,3.917,3.917,1,101.195
Sitting_NPC (4165),0.012,3.928,3.94,2,23.794
Lod_1,0.834,3.95,4.784,76,21.305
Terrain,0.0,4.794,4.794,1,52.054
B030,0.0,4.806,4.806,1,49.483
PlantPot_A (1),0.0,4.817,4.817,1,32.694
B017 (3),0.011,4.828,4.839,2,38.144
B001,0.0,4.85,4.85,1,38.051
B017 (3),0.0,4.861,4.861,1,38.008
B001,0.333,4.872,5.205,31,37.931
New_NPC (81),0.022,5.217,5.239,3,14.83
B001,0.0,5.25,5.25,1,38.516
New_NPC (81),0.011,5.261,5.272,2,14.802
New_NPC (73),0.201,5.283,5.484,19,21.779
B001,0.256,5.494,5.75,24,39.217
face_81,0.0,5.761,5.761,1,13.822
B030,0.0,5.772,5.772,1,48.079
Lod_1,0.288,5.85,6.138,27,21.432
Terrain,0.0,6.15,6.15,1,50.372
NPC-4628,0.0,6.161,6.161,1,52.752
NPC-4629,0.0,6.172,6.172,1,52.974
Terrain,0.011,6.183,6.194,2,44.864
NPC-4629,0.0,6.205,6.205,1,52.977
PlantPot_A,0.0,6.216,6.216,1,53.558
