HON,length,start,end,hits,distance
Validation_Plane (2),0.014,0.0,0.014,2,10.973
builds (1),0.349,0.046,0.395,35,48.199
BridgeSlope_Simple (1),0.034,0.406,0.44,4,33.917
Terrain,0.011,0.451,0.462,2,29.176
BridgeSlope_Simple (1),0.0,0.473,0.473,1,33.946
Terrain,0.044,0.484,0.528,5,32.436
BridgeSlope_Simple (1),0.101,0.539,0.64,10,33.986
Terrain,0.047,0.651,0.698,5,33.432
BridgeSlope_Simple (1),0.024,0.709,0.733,3,33.048
New_NPC (34),0.0,0.744,0.744,1,8.947
BridgeSlope_Simple (1),0.178,0.755,0.933,17,32.349
New_NPC (34),0.0,0.944,0.944,1,8.468
BridgeSlope_Simple (1),0.0,0.955,0.955,1,32.31
New_NPC (34),0.067,0.966,1.033,7,8.257
BridgeSlope_Simple (1),0.0,1.044,1.044,1,32.283
New_NPC (34),0.0,1.055,1.055,1,8.14
BridgeSlope_Simple (1),0.022,1.066,1.088,3,32.316
face_34,0.167,1.099,1.266,16,7.724
New_NPC (34),0.078,1.277,1.355,8,7.435
face_34,0.089,1.366,1.455,9,7.219
BridgeSlope_Simple (1),0.0,1.466,1.466,1,32.407
face_34,0.012,1.477,1.489,2,7.097
BridgeSlope_Simple (1),0.034,1.499,1.533,4,32.418
New_NPC (34),0.011,1.544,1.555,2,7.133
BridgeSlope_Simple (1),0.177,1.566,1.743,17,32.583
Terrain,0.0,1.755,1.755,1,31.556
Sitting_NPC (410),0.222,1.766,1.988,21,8.677
Terrain,0.0,1.999,1.999,1,22.849
PlantPot_A (4),0.011,2.01,2.021,2,29.29
builds (1),0.045,2.032,2.077,5,54.266
materialC150,0.0,2.088,2.088,1,53.967
builds (1),0.055,2.099,2.154,6,54.37
materialC150,0.0,2.166,2.166,1,53.552
materialE150,0.0,2.177,2.177,1,52.969
materialC150,0.0,2.188,2.188,1,53.839
builds (1),0.111,2.199,2.31,11,53.653
materialC150,0.0,2.321,2.321,1,53.258
materialE150,0.0,2.332,2.332,1,52.182
builds (1),0.011,2.343,2.354,2,53.377
materialE150,0.0,2.365,2.365,1,52.133
materialA150,0.0,2.377,2.377,1,46.451
PlantPot_A (4),0.0,2.388,2.388,1,29.244
Terrain,0.2,2.399,2.599,19,22.749
Sitting_NPC (410),0.311,2.61,2.921,29,7.273
Terrain,0.011,2.932,2.943,2,21.165
PlantPot_A (4),0.289,2.954,3.243,27,27.441
Terrain,0.0,3.254,3.254,1,27.797
materialC150,0.0,3.265,3.265,1,44.736
materialA150,0.0,3.276,3.276,1,49.207
materialC150,0.0,3.287,3.287,1,42.877
Terrain,0.012,3.298,3.31,2,32.487
pavement3 (4),0.011,3.321,3.332,2,35.347
materialC150,0.0,3.343,3.343,1,40.569
materialA150,0.0,3.354,3.354,1,47.699
materialC150,0.056,3.365,3.421,6,42.926
materialA150,0.0,3.432,3.432,1,48.22
materialC150,0.0,3.443,3.443,1,43.83
materialA150,0.0,3.454,3.454,1,52.445
PlantPot_A (4),0.089,3.465,3.554,9,26.771
Terrain,0.167,3.565,3.732,16,24.415
Sitting_NPC (410),0.0,3.743,3.743,1,6.435
Bench (1),0.0,3.754,3.754,1,6.12
Terrain,0.0,3.765,3.765,1,7.068
Bench (1),0.0,3.776,3.776,1,6.157
Terrain,0.045,3.787,3.832,5,6.794
Bench (1),0.022,3.843,3.865,3,6.027
Terrain,0.044,3.876,3.92,5,6.623
Bench (1),0.1,3.931,4.031,10,5.785
Sitting_NPC (410),0.223,4.042,4.265,21,5.322
Terrain,0.011,4.276,4.287,2,17.495
PlantPot_A (4),0.011,4.298,4.309,2,26.166
Terrain,0.067,4.32,4.387,7,23.402
materialA150,0.0,4.398,4.398,1,46.704
pavement3 (4),0.0,4.409,4.409,1,35.765
Terrain,0.855,4.42,5.275,78,22.833
PlantPot_A (4),0.011,5.286,5.297,2,25.448
Terrain,0.023,5.308,5.331,3,20.856
PlantPot_A (4),0.033,5.342,5.375,4,25.465
